rotulo,arquivo,status,destino
Agora,Agora_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agora\public\public_0001.npy
Agora,Agora_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agora\public\public_0002.npy
Agradável,Agradável_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agradável\public\public_0000.npy
Agradável,Agradável_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agradável\public\public_0001.npy
Agradável,Agradável_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agradável\public\public_0002.npy
Agressivo,Agressivo_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agressivo\public\public_0000.npy
Agressivo,Agressivo_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agressivo\public\public_0001.npy
Agressivo,Agressivo_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agressivo\public\public_0002.npy
Ainda,Ainda_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ainda\public\public_0000.npy
Ainda,Ainda_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ainda\public\public_0001.npy
Ainda,Ainda_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ainda\public\public_0002.npy
Ajoelhar,Ajoelhar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ajoelhar\public\public_0000.npy
Ajoelhar,Ajoelhar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ajoelhar\public\public_0001.npy
Ajoelhar,Ajoelhar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ajoelhar\public\public_0002.npy
Ajudar,Ajudar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ajudar\public\public_0000.npy
Ajudar,Ajudar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ajudar\public\public_0001.npy
Ajudar,Ajudar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ajudar\public\public_0002.npy
Alarme,Alarme_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alarme\public\public_0000.npy
Alarme,Alarme_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alarme\public\public_0001.npy
Alarme,Alarme_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alarme\public\public_0002.npy
Alce,Alce_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alce\public\public_0000.npy
Alce,Alce_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alce\public\public_0001.npy
Alce,Alce_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alce\public\public_0002.npy
Alfinete,Alfinete_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alfinete\public\public_0000.npy
Alfinete,Alfinete_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alfinete\public\public_0001.npy
Alfinete,Alfinete_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alfinete\public\public_0002.npy
Algo,Algo_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Algo\public\public_0000.npy
Algo,Algo_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Algo\public\public_0001.npy
Algo,Algo_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Algo\public\public_0002.npy
Alguns,Alguns_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alguns\public\public_0000.npy
Alguns,Alguns_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alguns\public\public_0001.npy
Alguns,Alguns_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alguns\public\public_0002.npy
Alimentação,Alimentação_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alimentação\public\public_0000.npy
Alimentação,Alimentação_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alimentação\public\public_0001.npy
Alimentação,Alimentação_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alimentação\public\public_0002.npy
Almofada,Almofada_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Almofada\public\public_0000.npy
Almofada,Almofada_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Almofada\public\public_0001.npy
Almofada,Almofada_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Almofada\public\public_0002.npy
Almoço,Almoço_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Almoço\public\public_0000.npy
Almoço,Almoço_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Almoço\public\public_0001.npy
Almoço,Almoço_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Almoço\public\public_0002.npy
Alto,Alto_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alto\public\public_0000.npy
Alto,Alto_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alto\public\public_0001.npy
Alto,Alto_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Alto\public\public_0002.npy
Altura,Altura_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Altura\public\public_0000.npy
Altura,Altura_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Altura\public\public_0001.npy
Altura,Altura_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Altura\public\public_0002.npy
Aluno do Segundo Ano do Ensino Médio,Aluno do Segundo Ano do Ensino Médio_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aluno do Segundo Ano do Ensino Médio\public\public_0000.npy
Aluno do Segundo Ano do Ensino Médio,Aluno do Segundo Ano do Ensino Médio_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aluno do Segundo Ano do Ensino Médio\public\public_0001.npy
Aluno do Segundo Ano do Ensino Médio,Aluno do Segundo Ano do Ensino Médio_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aluno do Segundo Ano do Ensino Médio\public\public_0002.npy
Amanhã,Amanhã_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amanhã\public\public_0000.npy
Amanhã,Amanhã_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amanhã\public\public_0001.npy
Amanhã,Amanhã_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amanhã\public\public_0002.npy
Amarelo,Amarelo_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amarelo\public\public_0000.npy
Amarelo,Amarelo_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amarelo\public\public_0001.npy
Amarelo,Amarelo_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amarelo\public\public_0002.npy
Amargo,Amargo_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amargo\public\public_0000.npy
Amargo,Amargo_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amargo\public\public_0001.npy
Amargo,Amargo_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amargo\public\public_0002.npy
Ambiente,Ambiente_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ambiente\public\public_0000.npy
Ambiente,Ambiente_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ambiente\public\public_0001.npy
Ambiente,Ambiente_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ambiente\public\public_0002.npy
Ambos,Ambos_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ambos\public\public_0000.npy
Ambos,Ambos_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ambos\public\public_0001.npy
Ambos,Ambos_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ambos\public\public_0002.npy
Amigo,Amigo_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amigo\public\public_0000.npy
Amigo,Amigo_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amigo\public\public_0001.npy
Amigo,Amigo_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amigo\public\public_0002.npy
Amigável,Amigável_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amigável\public\public_0000.npy
Amigável,Amigável_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amigável\public\public_0001.npy
Amigável,Amigável_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Amigável\public\public_0002.npy
Analisar,Analisar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Analisar\public\public_0000.npy
Analisar,Analisar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Analisar\public\public_0001.npy
Analisar,Analisar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Analisar\public\public_0002.npy
Andorinha,Andorinha_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Andorinha\public\public_0000.npy
Andorinha,Andorinha_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Andorinha\public\public_0001.npy
Andorinha,Andorinha_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Andorinha\public\public_0002.npy
Angustiado,Angustiado_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Angustiado\public\public_0000.npy
Angustiado,Angustiado_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Angustiado\public\public_0001.npy
Angustiado,Angustiado_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Angustiado\public\public_0002.npy
Animado,Animado_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animado\public\public_0000.npy
Animado,Animado_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animado\public\public_0001.npy
Animado,Animado_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animado\public\public_0002.npy
Animal,Animal_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animal\public\public_0000.npy
Animal,Animal_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animal\public\public_0001.npy
Animal,Animal_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animal\public\public_0002.npy
Animal mimado,Animal mimado_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animal mimado\public\public_0000.npy
Animal mimado,Animal mimado_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animal mimado\public\public_0001.npy
Animal mimado,Animal mimado_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Animal mimado\public\public_0002.npy
Aniversário,Aniversário_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aniversário\public\public_0000.npy
Aniversário,Aniversário_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aniversário\public\public_0001.npy
Aniversário,Aniversário_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aniversário\public\public_0002.npy
Anjo,Anjo_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anjo\public\public_0000.npy
Anjo,Anjo_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anjo\public\public_0001.npy
Anjo,Anjo_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anjo\public\public_0002.npy
Ano,Ano_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ano\public\public_0000.npy
Ano,Ano_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ano\public\public_0001.npy
Ano,Ano_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ano\public\public_0002.npy
Antecipar,Antecipar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Antecipar\public\public_0000.npy
Antecipar,Antecipar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Antecipar\public\public_0001.npy
Antecipar,Antecipar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Antecipar\public\public_0002.npy
Anteriormente,Anteriormente_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anteriormente\public\public_0000.npy
Anteriormente,Anteriormente_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anteriormente\public\public_0001.npy
Anteriormente,Anteriormente_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anteriormente\public\public_0002.npy
Antes,Antes_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Antes\public\public_0000.npy
Antes,Antes_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Antes\public\public_0001.npy
Antes,Antes_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Antes\public\public_0002.npy
Anunciar,Anunciar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anunciar\public\public_0000.npy
Anunciar,Anunciar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anunciar\public\public_0001.npy
Anunciar,Anunciar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Anunciar\public\public_0002.npy
Ao redor,Ao redor_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ao redor\public\public_0000.npy
Ao redor,Ao redor_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ao redor\public\public_0001.npy
Ao redor,Ao redor_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Ao redor\public\public_0002.npy
